obs_id,poi_id,forecast_match_id,equip_id,equip_type,obs_date,time_start,time_end,obs_variable,obs_value
101308-4836-1,101308-4836,Opening Year,unknown,unknown,,00:00,24:00,volume,92150
101308-4836-1,101308-4836,Design Year,unknown,unknown,,00:00,24:00,volume,92150
101308-4861-1,101308-4861,Opening Year,unknown,unknown,,00:00,24:00,volume,13643
101308-4861-1,101308-4861,Design Year,unknown,unknown,,00:00,24:00,volume,13643
101308-4862-1,101308-4862,Opening Year,unknown,unknown,,00:00,24:00,volume,6226
101308-4862-1,101308-4862,Design Year,unknown,unknown,,00:00,24:00,volume,6226
101308-4863-1,101308-4863,Opening Year,unknown,unknown,,00:00,24:00,volume,12048
101308-4863-1,101308-4863,Design Year,unknown,unknown,,00:00,24:00,volume,12048
101308-4864-1,101308-4864,Opening Year,unknown,unknown,,00:00,24:00,volume,14709
101308-4864-1,101308-4864,Design Year,unknown,unknown,,00:00,24:00,volume,14709
101308-4868-1,101308-4868,Opening Year,unknown,unknown,,00:00,24:00,volume,24461
101308-4868-1,101308-4868,Design Year,unknown,unknown,,00:00,24:00,volume,24461
101308-4869-1,101308-4869,Opening Year,unknown,unknown,,00:00,24:00,volume,25985
101308-4869-1,101308-4869,Design Year,unknown,unknown,,00:00,24:00,volume,25985
101308-4870-1,101308-4870,Opening Year,unknown,unknown,,00:00,24:00,volume,13936
101308-4870-1,101308-4870,Design Year,unknown,unknown,,00:00,24:00,volume,13936
101308-4871-1,101308-4871,Opening Year,unknown,unknown,,00:00,24:00,volume,6099
101308-4871-1,101308-4871,Design Year,unknown,unknown,,00:00,24:00,volume,6099
101308-4893-1,101308-4893,Opening Year,unknown,unknown,,00:00,24:00,volume,14630
101308-4893-1,101308-4893,Design Year,unknown,unknown,,00:00,24:00,volume,14630
101308-4894-1,101308-4894,Opening Year,unknown,unknown,,00:00,24:00,volume,23390
101308-4894-1,101308-4894,Design Year,unknown,unknown,,00:00,24:00,volume,23390
101308-4895-1,101308-4895,Opening Year,unknown,unknown,,00:00,24:00,volume,14130
101308-4895-1,101308-4895,Design Year,unknown,unknown,,00:00,24:00,volume,14130
101308-4896-1,101308-4896,Opening Year,unknown,unknown,,00:00,24:00,volume,34777
101308-4896-1,101308-4896,Design Year,unknown,unknown,,00:00,24:00,volume,34777
101308-4897-1,101308-4897,Opening Year,unknown,unknown,,00:00,24:00,volume,19002
101308-4897-1,101308-4897,Design Year,unknown,unknown,,00:00,24:00,volume,19002
101308-4921-1,101308-4921,Opening Year,unknown,unknown,,00:00,24:00,volume,10865
101308-4921-1,101308-4921,Design Year,unknown,unknown,,00:00,24:00,volume,10865
101308-4922-1,101308-4922,Opening Year,unknown,unknown,,00:00,24:00,volume,8167
101308-4922-1,101308-4922,Design Year,unknown,unknown,,00:00,24:00,volume,8167
101308-4960-1,101308-4960,Opening Year,unknown,unknown,,00:00,24:00,volume,8861
101308-4960-1,101308-4960,Design Year,unknown,unknown,,00:00,24:00,volume,8861
101308-4961-1,101308-4961,Opening Year,unknown,unknown,,00:00,24:00,volume,7358
101308-4961-1,101308-4961,Design Year,unknown,unknown,,00:00,24:00,volume,7358
101308-4962-1,101308-4962,Opening Year,unknown,unknown,,00:00,24:00,volume,8141
101308-4962-1,101308-4962,Design Year,unknown,unknown,,00:00,24:00,volume,8141
